Match No,Team 1,Team 2,Date,Time
League,Big Dawgs,SPD,05-12-2025,9:00 - 9:45 PM
League,Peak-E-Blinders,Anarchy,05-12-2025,10:00 - 10:45 PM
League,C-Suite,SPD,05-12-2025,11:00 - 11:45 PM
League,C-Suite,Anarchy,07-12-2025,8:00 - 8:45 AM
League,Big Dawgs,Peak-E-Blinders,07-12-2025,9:00 - 9:45 AM
League,SPD,Anarchy,07-12-2025,10:00 - 10:45 AM
League,Big Dawgs,C-Suite,07-12-2025,4:00 - 4:45 PM
League,SPD,Peak-E-Blinders,07-12-2025,5:00 - 5:45 PM
League,Anarchy,Big Dawgs,07-12-2025,6:00 - 6:45 PM
League,C-Suite,Peak-E-Blinders,07-12-2025,7:00 - 7:45 PM
Semi Final,TBD,TBD,07-12-2025,8:30 - 9:15 PM
Final,TBD,TBD,07-12-2025,10:00 - 10:45 PM
